20;18.8268;17.6544;16.4835;15.315;14.1496;12.9886;11.8332;10.6856;9.5484;8.42538;7.32198;6.24579;5.2072;4.2199;3.30061;2.46704;1.73305;1.10056;0.539865;0.0148089;-0.509579;-1.06919;-1.70048;-2.43323;-3.26576;-4.18442;-5.17164;-6.21077;-7.28811;-8.39324;-9.51852;-10.6585;-11.8092;-12.9678;-14.1324;-15.3013;-16.4735;-17.6478;-18.8236;-20
20;18.8154;17.6312;16.4477;15.2653;14.0845;12.9058;11.7302;10.5589;9.39405;8.23907;7.09908;5.98209;4.90021;3.87132;2.92031;2.07788;1.37478;0.838403;0.401573;0.00848278;-0.382603;-0.81745;-1.35191;-2.05272;-2.89303;-3.84241;-4.87034;-5.95196;-7.06942;-8.21053;-9.36725;-10.5343;-11.7082;-12.8868;-14.0687;-15.2528;-16.4384;-17.6251;-18.8124;-20
20;18.8043;17.6085;16.4127;15.2165;14.02;12.8232;11.626;10.429;9.23332;8.04106;6.85628;5.68608;4.54267;3.44686;2.43296;1.55049;0.850496;0.477087;0.219647;0;-0.212316;-0.466872;-0.838109;-1.53429;-2.41326;-3.42439;-4.51826;-5.66062;-6.83061;-8.01592;-9.20939;-10.4069;-11.6061;-12.8058;-14.0055;-15.205;-16.4041;-17.6029;-18.8016;-20
20;18.7939;17.5873;16.3797;15.1704;13.9587;12.7438;11.5248;10.3012;9.07236;7.83868;6.60177;5.3658;4.13964;2.94218;1.81538;0.841392;0;0;0;0;0;0;0;-0.834174;-1.80297;-2.92573;-4.12029;-5.34461;-6.57972;-7.81661;-9.05102;-10.2812;-11.5067;-12.7279;-13.9453;-15.1597;-16.3718;-17.5821;-18.7914;-20
20;18.7846;17.5683;16.3501;15.1288;13.9031;12.6712;11.4314;10.1816;8.9193;7.64239;6.34896;5.03798;3.70975;2.36816;1.0458;0;0;0;0;0;0;0;0;0;-1.03983;-2.35698;-3.69478;-5.02048;-6.33003;-7.62297;-8.9002;-10.1634;-11.4149;-12.6566;-13.8907;-15.1189;-16.3428;-17.5635;-18.7823;-20
20;18.7769;17.5525;16.3254;15.0939;13.856;12.6094;11.351;10.0773;8.78377;7.46533;6.11608;4.7294;3.29474;1.77586;0;0;0;0;0;0;0;0;0;0;0;-1.76889;-3.28325;-4.71487;-6.09968;-7.44805;-8.76648;-10.0607;-11.3357;-12.5958;-13.8445;-15.0846;-16.3185;-17.548;-18.7747;-20
20;18.771;17.5405;16.3066;15.0673;13.8201;12.5619;11.2887;9.99557;8.67593;7.3216;5.92285;4.47061;2.96521;1.44117;0;0;0;0;0;0;0;0;0;0;0;-1.43628;-2.95605;-4.4582;-5.90829;-7.3059;-8.65996;-9.98008;-11.2743;-12.549;-13.8092;-15.0585;-16.3001;-17.5362;-18.769;-20
20;18.7674;17.5331;16.295;15.0507;13.7976;12.5319;11.2492;9.94309;8.60542;7.22472;5.78517;4.26659;2.6554;1.02407;0;0;0;0;0;0;0;0;0;0;0;-1.02091;-2.64786;-4.25555;-5.77175;-7.20997;-8.59026;-9.92827;-11.2353;-12.5196;-13.787;-15.0422;-16.2886;-17.5289;-18.7654;-20
20;18.7662;17.5305;16.291;15.0451;13.7899;12.5217;11.2355;9.92488;8.58053;7.18902;5.7285;4.15669;2.36665;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.36016;-4.1462;-5.71547;-7.17458;-8.56562;-9.91028;-11.2219;-12.5094;-13.7794;-15.0366;-16.2847;-17.5264;-18.7642;-20
20;18.7674;17.5331;16.295;15.0507;13.7976;12.5319;11.2491;9.94304;8.60536;7.22464;5.78507;4.26649;2.6553;1.02399;0;0;0;0;0;0;0;0;0;0;0;-1.02081;-2.64773;-4.25541;-5.77162;-7.20985;-8.59016;-9.92819;-11.2352;-12.5195;-13.787;-15.0422;-16.2886;-17.5289;-18.7654;-20
